,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,bredasdorp,6,ZA,1557065786,64,-34.53,20.04,69.01,16.11
1,casino,10,AU,1557065914,87,-28.86,153.05,57.0,4.7
2,arraial do cabo,40,BR,1557064800,69,-22.97,-42.02,84.2,11.41
3,catacaos,40,PE,1557066182,83,-5.27,-80.68,71.65,8.9
4,bahia honda,65,CU,1557066182,77,22.9,-83.16,82.81,7.52
5,yulara,0,AU,1557061200,32,-25.24,130.99,60.8,6.93
6,tommot,100,RU,1557066182,87,58.97,126.27,37.81,11.12
7,nome,1,US,1557066171,73,30.04,-94.42,75.2,5.82
8,hilo,75,US,1557066135,83,19.71,-155.08,73.4,10.29
9,atuona,1,PF,1557066183,76,-9.8,-139.03,82.81,18.34
10,kodiak,1,US,1557066156,72,39.95,-94.76,64.0,9.17
11,port alfred,95,ZA,1557066120,91,-33.59,26.89,66.0,4.0
12,kichera,85,RU,1557066184,74,55.93,110.1,26.83,2.44
13,agadez,0,NE,1557064800,15,16.97,7.99,109.4,2.24
14,padang,75,ID,1557061200,94,-0.92,100.36,77.0,2.24
15,adrar,20,DZ,1557064800,12,27.87,-0.29,93.2,6.93
16,hamilton,75,CA,1557066116,81,43.26,-79.87,61.0,10.29
17,hami,100,CN,1557066185,26,42.84,93.51,67.87,7.94
18,carutapera,75,BR,1557066185,86,-1.2,-46.02,83.35,4.29
19,karratha,0,AU,1557066186,30,-20.74,116.85,80.29,8.08
20,punta arenas,20,CL,1557065585,70,-53.16,-70.91,44.6,27.51
21,lovozero,78,RU,1557066186,63,68.01,35.02,35.11,3.6
22,kyren,0,RU,1557066186,54,51.68,102.13,25.03,4.38
23,avarua,100,CK,1557063000,78,-21.21,-159.78,77.0,9.17
24,albany,90,US,1557066164,71,42.65,-73.75,57.99,5.82
25,roma,75,IT,1557065884,54,41.89,12.48,59.0,12.75
26,gat,0,SN,1557064800,42,14.69,-16.54,84.2,19.46
27,cidreira,100,BR,1557066187,61,-30.17,-50.22,83.35,5.35
28,nizwa,0,OM,1557066187,12,22.93,57.53,89.65,4.21
29,mataura,98,NZ,1557066006,97,-46.19,168.86,48.0,2.24
30,hun,93,BE,1557066149,75,50.34,4.87,53.01,5.82
31,provideniya,100,RU,1557066188,98,64.42,-173.23,27.01,2.26
32,dikson,100,RU,1557066188,89,73.51,80.55,18.73,26.64
33,khatanga,41,RU,1557066188,86,71.98,102.47,11.35,12.33
